sample,forest,zone,categorie,age,bacterial_richness,bacterial_shannon,bacterial_simpson,amf_richness,amf_shannon,amf_simpson,crop_type,crop_year,soil_type,topography
BAD_1_1,Badenou,Dry,[1-10],1,956,489.857250448264,173.536619719779,54,18.6365881106962,13.8724801878668,coton,1,sablo-argileux,plateau
BAD_14_2,Badenou,Dry,[11-20],12,619,296.826863819053,111.028630947176,52,5.79069494554564,2.86647439759372,mais,1,argileux,plateau
BAD_18_1,Badenou,Dry,[21-30],21,762,309.360471751079,72.3559161705784,43,6.68729843463716,3.09592863269602,mais,1,argileux,plateau
BAD_3_1,Badenou,Dry,OGF,NA,643,298.402998758954,86.6429408667406,45,14.7248210299499,8.17769635894881,NA,NA,ferrugineux,pente
BAD_8_1,Badenou,Dry,[30 <[,38,721,286.301778396696,67.869624289171,67,27.3229787912172,19.5028166646625,riz,1,argileux,plateau
FOUM_14_2,Foumbou,Dry,[21-30],29,787,454.525697337481,245.022660507544,86,30.8717982323758,19.4852507878917,igname,1,ferrugineux,plateau
FOUM_17_2,Foumbou,Dry,OGF,NA,1000,640.561978115438,397.526285266782,79,13.0687081354811,5.42691629960342,NA,NA,argileux,plateau
FOUM_3_1,Foumbou,Dry,[11-20],11,782,400.836454216038,130.542039911335,11,2.93833829455523,2.20632738231848,coton,1,argileux,plateau
FOUM_7_2,Foumbou,Dry,[1-10],8,748,498.662180399944,329.73242120035,5,2.17637640824031,1.53846153846154,coton,1,argileux,pente
FOUM_8_2,Foumbou,Dry,[30 <[,39,1050,668.445833459545,426.58931257046,65,14.2699244758027,7.03980012814809,igname,1,argileux,plateau
HS_16_2,Ht_sassandra,Semi-deciduous,[30 <[,40,811,361.99643709913,131.569794381876,49,11.1105332266742,7.26388658241762,cacao_cafe,40,ferralitique,pente
HS_18_2,Ht_sassandra,Semi-deciduous,[21-30],26,497,234.238685122783,99.2327276721476,40,9.63478969634214,6.69331501067342,cacao,37,ferralitique,pente
HS_3_1,Ht_sassandra,Semi-deciduous,[11-20],17,675,200.211128802264,49.7560104030988,39,6.92551359955476,4.41394101904757,NA,NA,ferralitique,plateau
HS_7_1,Ht_sassandra,Semi-deciduous,[1-10],10,772,425.420311308765,218.039826092062,54,5.34818123937765,2.6856051861442,cacao_cafe,35,ferralitique,plateau
HS_FA_2_2,Ht_sassandra,Semi-deciduous,OGF,NA,887,466.074714778164,163.98040574143,21,5.57717935336901,5.03733107005288,NA,NA,ferralitique,plateau
IR_10_2,Irobo,Evergreen,OGF,NA,605,353.670375791711,196.392178979117,64,20.5218008210294,14.1217855749419,NA,NA,ferralitique,plateau
IR_13_1,Irobo,Evergreen,[21-30],23,686,321.308544269908,122.375523892166,34,12.2428028057511,8.03919026193375,mais,1,ferralitique,plateau
IR_17_1,Irobo,Evergreen,[30 <[,35,673,364.39229827722,194.63345841551,57,16.40026584808,10.3521636465701,riz,1,hydromorphe,bas-fond
IR_4_2,Irobo,Evergreen,[11-20],20,660,425.412526434704,270.188843916194,53,9.00980112267717,4.53038145673893,riz,1,hydromorphe,bas-fond
IR_7_1,Irobo,Evergreen,[1-10],4,795,452.443878245092,234.217455559666,49,10.2343395645255,6.9604711727642,mais,1,ferralitique,plateau
NI_13_2,Niegre,Evergreen,[11-20],19,580,382.073158726404,268.706157844489,39,16.3982948601444,11.5527015830099,cacao,36,hydromorphe,bas fond
NI_16_2,Niegre,Evergreen,[30 <[,35,815,323.527194910054,78.9091825257225,46,12.7144652127865,9.92915628695244,cacao,40,ferralitique,pente
NI_19_1,Niegre,Evergreen,[21-30],26,698,397.702459830182,205.239647224072,60,13.6546241974012,5.97001071675234,cacao,33,ferralitique,pente
NI_3_1,Niegre,Evergreen,[1-10],10,689,394.501237484628,211.015793079106,62,7.08263950765263,3.60786171532187,cacao,1,ferralitique,pente
NI_7_2,Niegre,Evergreen,OGF,NA,980,591.888827010685,328.6225841882,11,2.49761778735855,2.15441551775012,NA,NA,ferralitique,plateau
TE_1_10_1_2,Tene,Semi-deciduous,[1-10],3,576,260.522803757686,103.343306792701,43,17.4310995586979,10.2702823346876,cacao,1,ferralitique,pente
TE_11_20_1_2,Tene,Semi-deciduous,[11-20],12,654,202.246519817896,73.0458480272369,60,10.4742269977548,6.58695939561185,cacao,15,ferralitique,plateau
TE_21_30_1_1,Tene,Semi-deciduous,[21-30],21,828,444.209840371952,208.345577507173,53,16.1806437288731,8.60650013943059,cafe,13,ferralitique,pente
TE_6_43_1,Tene,Semi-deciduous,[30 <[,43,674,341.895506172955,158.394563137295,69,12.810634191723,7.62142344218702,cafe,1,ferralitique,pente
TE_FA_1_1,Tene,Semi-deciduous,OGF,NA,517,318.999799208772,135.71132080402,70,15.1470520057618,6.50767325976796,NA,NA,ferralitique,pente
